date,tab,block,payee,desc,amount,candidate_vendor,candidate_date,candidate_total,candidate_status,link,docId
2026-05-27,1616 Granite RECONCILED,,Amazon,Curtain Rods,72.65,"Anthropic, PBC",2026-06-03,20.00,pending,https://mail.google.com/mail/u/0/#all/19e8ed8492f559bc,gm-19e8ed8492f559bc
2026-08-14,366 Mesa,,Home Depot,Door Lock Sets,69.61,The Home Depot,2026-08-14,87.26,posted,https://drive.google.com/file/d/1OC65derKXGQVjdxfhUbk9VOAiEt8kw68/view?usp=drivesdk,gm-1a000805d296df8b
2026-06-26,RECAST BIZ,Gas/Truck/Trailer,Shell,Fuel - 18.762 gallons,69.40,Shell,2026-06-29,58.04,posted,https://drive.google.com/file/d/1agh769exx2DuoCNce50dUuza_YlTSxpW/view?usp=drivesdk,gm-19f15c359e34964b
2026-03-10,104 Ashburne,Gas/Truck/Trailer,Shell,Gas,69.27,Shell,2026-04-13,69.27,pending,https://mail.google.com/mail/u/0/#all/19d86af34f4c2840,gm-19d86af34f4c2840
2026-02-19,104 Ashburne,Lighting & Electrical,Home Depot,Light Switches,69.24,The Home Depot,2026-02-18,69.56,pending,https://mail.google.com/mail/u/0/#all/19c70c97dc638c65,gm-19c70c97dc638c65
2026-06-17,104 Ashburne,Gas/Truck/Trailer,Shell,Gas,66.64,Shell,2026-06-17,66.64,pending,https://mail.google.com/mail/u/0/#all/19ed81985682b730,gm-19ed81985682b730
2026-01-07,104 Ashburne,Trash,Home Depot,Garbage Bags,64.89,The Home Depot,2026-01-14,64.89,dismissed,https://drive.google.com/file/d/11D2rAyQ11i3VuQZKdgQQxhW2SYdh1s4o/view?usp=drivesdk,gm-19bbd023b3e85f3b
2026-02-19,104 Ashburne,Lighting & Electrical,Home Depot,Hall & Closet Lights,64.89,The Home Depot,2026-01-14,64.89,dismissed,https://drive.google.com/file/d/11D2rAyQ11i3VuQZKdgQQxhW2SYdh1s4o/view?usp=drivesdk,gm-19bbd023b3e85f3b
2026-04-05,104 Ashburne,Lighting & Electrical,Home Depot,Light Bulbs,63.76,The Home Depot,2026-03-26,64.92,dismissed,https://drive.google.com/file/d/1SdDL73kUhzXfcgnbgzkMoV4YkuJbCRVr/view?usp=drivesdk,gm-19d2b6120ef5187f
2026-02-15,104 Ashburne,Master Bath,Home Depot,PT 2x4's,60.79,The Home Depot,2026-02-15,137.68,pending,https://mail.google.com/mail/u/0/#all/19c61b20c24fc994,gm-19c61b20c24fc994
2026-08-13,366 Mesa,,Lowe's,Exterior Lights,60.57,"Lowe's Home Centers, LLC",2026-08-13,542.40,pending,https://mail.google.com/mail/u/0/#all/19ffbab89c6e794c,gm-19ffbab89c6e794c
2026-02-16,RECAST BIZ,Tools,Home Depot,Saw Horses,59.51,The Home Depot,2026-02-16,183.38,pending,https://mail.google.com/mail/u/0/#all/19c66d875dd9e7bd,gm-19c66d875dd9e7bd
2026-03-30,104 Ashburne,House Hardware,Lowes,Door Knobs,59.49,"Lowe's Home Centers, LLC",2026-03-30,340.90,posted,https://drive.google.com/file/d/1c_vFy0-CaX1yvoPm5R18qlwcnX901ctk/view?usp=drivesdk,gm-19d442100d7bb73f
2026-06-22,RECAST BIZ,Gas/Truck/Trailer,Shell,Regular fuel 17.425G @ $3.139/gal,54.70,Shell,2026-06-17,66.64,pending,https://mail.google.com/mail/u/0/#all/19ed81985682b730,gm-19ed81985682b730
